166|3|120|Cash|2021-7-13|14:59:8|#
356|1|15|Cash|2021-7-13|15:0:8|#
458|1|15|Cash|2021-7-13|15:37:28|#
24|4|160|Cash|2021-7-13|15:39:52|#
798|0|0|Cash|2021-7-13|15:43:56|#
6|4|200|Cash|2021-7-13|15:44:17|#
277|2|30|Cash|2021-7-13|15:45:40|#
561|2|30|Cash|2021-7-13|15:47:5|#
607|4|280|Cash|2021-7-13|15:47:34|#
767|5|350|Cash|2021-7-13|15:48:16|#
73|4|280|Cash|2021-7-13|15:49:16|#
318|0|0|Cash|2021-7-13|15:50:31|#
504|0|0|Cash|2021-7-13|15:51:26|#
51|0|0|Cash|2021-7-13|15:53:40|#
326|0|0|Cash|2021-7-13|15:55:3|#
479|4|280|Cash|2021-7-13|15:55:52|#
229|5|300|Cash|2021-7-13|15:59:25|#
520|1|15|Card|2021-7-13|16:0:39|#
736|3|210|Cash|2021-7-13|16:6:44|#
431|2|30|Cash|2021-7-13|16:9:28|#
145|4|60|Cash|2021-7-13|16:12:34|#
399|2|30|Cash|2021-7-13|16:14:43|#
716|4|280|Cash|2021-7-13|16:15:29|#
245|2|30|Cash|2021-7-13|16:22:59|#
464|2|30|Card|2021-7-13|16:23:25|#
751|1|15|Cash|2021-7-13|16:24:49|#
80|1|15|Cash|2021-7-13|16:25:58|#
690|1|15|Cash|2021-7-13|16:38:17|#
143|1|15|Cash|2021-7-13|16:40:3|#
525|1|15|Cash|2021-7-13|16:42:0|#
186|1|15|Cash|2021-7-13|16:45:5|#
428|2|80|Cash|2021-7-13|16:46:16|#
275|8|400|UPI|2021-7-13|19:37:29|#
415|5|350|Cash|2021-7-13|19:38:1|#
614|4|80|Card|2021-7-13|19:39:2|#
735|0|0|Cash|2021-7-13|19:39:38|#
523|3|210|Cash|2021-7-13|20:24:42|#
663|1|20|Cash|2021-7-13|20:25:30|#
15|6|300|UPI|2021-7-13|20:26:29|#
553|3|120|Card|2021-7-13|20:29:36|#
795|6|300|UPI|2021-7-13|20:30:34|#
13|1|60|UPI|2021-7-13|20:31:45|#
84|4|240|UPI|2021-7-13|20:38:29|#
462|1|60|Card|2021-7-13|20:39:51|#
851|1|60|Cash|2021-7-13|20:41:44|#
199|1|20|Cash|2021-7-13|21:5:58|#
568|2|40|Cash|2021-7-13|21:7:53|#
689|1|20|Cash|2021-7-13|21:8:26|#
888|1|20|Cash|2021-7-13|21:9:28|#
197|1|20|Cash|2021-7-13|21:10:31|#
259|2|40|Cash|2021-7-13|21:10:50|#
680|4|280|Cash|2021-7-13|21:22:31|#
188|3|180|Cash|2021-7-13|21:24:21|#
351|3|150|Card|2021-7-13|21:25:7|#
531|2|85|Cash|2021-7-13|21:26:5|#
815|1|70|Cash|2021-7-13|21:27:27|#
235|4|280|Cash|2021-7-13|21:29:43|#
640|2|140|Cash|2021-7-13|21:31:31|#
826|3|210|Cash|2021-7-13|21:32:14|#
383|1|15|Cash|2021-7-13|21:34:31|#
455|2|30|Cash|2021-7-13|21:34:47|#
164|1|70|Cash|2021-7-13|21:42:30|#
252|1|70|Cash|2021-7-13|21:42:57|#
647|1|70|Cash|2021-7-13|21:45:1|#
286|5|350|Cash|2021-7-13|21:47:47|#
0|1|40|Cash|2021-7-13|21:50:52|#
101|4|280|Cash|2021-7-13|21:51:31|#
415|1|70|Cash|2021-7-13|21:52:58|#
705|1|70|Cash|2021-7-13|21:54:26|#
187|1|70|Cash|2021-7-13|21:56:24|#
543|1|50|Cash|2021-7-13|23:50:43|#
446|3|150|Cash|2021-7-13|23:54:32|#
518|2|140|Cash|2021-7-13|23:54:56|#
600|6|330|Cash|2021-7-13|23:55:39|#
330|4|100|Card|2021-7-13|23:58:32|#
630|3|140|Cash|2021-7-14|0:0:26|#
342|1|60|Card|2021-7-14|0:7:40|#
618|2|50|Cash|2021-7-14|0:13:53|#
649|2|140|Card|2021-7-14|0:18:30|#
39|1|15|Card|2021-7-14|0:20:0|#
95|6|400|UPI|2021-7-14|0:20:49|#
366|2|140|Card|2021-7-14|0:21:35|#
280|0|0|Card|2021-7-14|0:30:22|#
453|2|100|Cash|2021-7-14|0:31:42|#
846|3|120|Card|2021-7-14|0:38:16|#
769|1|50|Card|2021-7-14|0:42:2|#
107|6|230|Card|2021-7-14|0:52:43|#
355|10|430|UPI|2021-7-14|0:54:6|#
714|6|110|Cash|2021-7-14|9:50:2|#
192|2|30|Cash|2021-7-14|9:51:28|#
349|1|25|Cash|2021-7-14|9:52:8|#
398|2|30|Cash|2021-7-14|9:52:29|#
535|5|125|Cash|2021-7-14|9:53:12|#
640|2|140|Cash|2021-7-14|9:54:9|#
26|1|10|Cash|2021-7-14|16:8:41|#
678|5|180|Card|2021-7-14|16:30:22|#
568|2|40|Cash|2021-7-14|21:42:56|#
802|6|210|UPI|2021-7-14|23:23:29|#
30|5|100|Card|2021-7-14|23:24:3|#
147|2|140|Card|2021-7-14|23:24:38|#
442|2|60|Card|2021-7-14|23:30:42|#
392|2|60|Cash|2021-7-14|23:34:48|#
460|4|160|Card|2021-7-15|0:23:11|#
11|0|0|Card|2021-7-15|0:57:47|#
299|7|190|UPI|2022-7-15|10:8:23|#
394|1|25|UPI|2022-7-20|13:42:1|#
561|33|2640|Cash|2022-7-21|11:51:34|#
683|33|2772|Cash|2022-7-21|11:57:0|#
